timestamp,Theo ES,Rank,Value
2025-06-02 11:19:22,5811.5,Call CEX 1,1444555.68
2025-06-02 11:19:22,5911.75,Call CEX 2,1443139.968
2025-06-02 11:19:22,5861.5,Call CEX 3,1313157.426
2025-06-02 11:19:22,5711.25,Call CEX 4,1039207.91
2025-06-02 11:19:22,5761.25,Call CEX 5,901082.97
2025-06-02 11:19:22,5009.75,Call DEX 1,2572.988
2025-06-02 11:19:22,5711.25,Call DEX 2,348.475
2025-06-02 11:19:22,5510.75,Call DEX 3,335.823
2025-06-02 11:19:22,5661.25,Call DEX 4,322.9
2025-06-02 11:19:22,5410.75,Call DEX 5,274.563
2025-06-02 11:19:22,6011.75,Call GEX 1,381922.885
2025-06-02 11:19:22,6112.0,Call GEX 2,312767.096
2025-06-02 11:19:22,5916.75,Call GEX 3,208411.602
2025-06-02 11:19:22,6062.0,Call GEX 4,204618.329
2025-06-02 11:19:22,6212.25,Call GEX 5,187020.032
2025-06-02 11:19:22,5009.75,Call VEX 1,2457689.311
2025-06-02 11:19:22,5711.25,Call VEX 2,1829728.349
2025-06-02 11:19:22,5661.25,Call VEX 3,1452855.329
2025-06-02 11:19:22,5510.75,Call VEX 4,1313805.499
2025-06-02 11:19:22,5611.0,Call VEX 5,1104763.573
2025-06-02 11:19:22,6011.75,Put CEX 1,-2271318.015
2025-06-02 11:19:22,5951.75,Put CEX 2,-1014762.535
2025-06-02 11:19:22,5961.75,Put CEX 3,-998860.433
2025-06-02 11:19:22,5946.75,Put CEX 4,-776691.425
2025-06-02 11:19:22,6112.0,Put CEX 5,-655333.936
2025-06-02 11:19:22,6011.75,Put DEX 1,-321.268
2025-06-02 11:19:22,7013.75,Put DEX 2,-38.42
2025-06-02 11:19:22,6512.75,Put DEX 3,-36.666
2025-06-02 11:19:22,5986.75,Put DEX 4,-29.037
2025-06-02 11:19:22,5961.75,Put DEX 5,-24.934
2025-06-02 11:19:22,5711.25,Put GEX 1,-93434.112
2025-06-02 11:19:22,5009.75,Put GEX 2,-92024.919
2025-06-02 11:19:22,5611.0,Put GEX 3,-91643.22
2025-06-02 11:19:22,5811.5,Put GEX 4,-77993.658
2025-06-02 11:19:22,5761.25,Put GEX 5,-76822.184
2025-06-02 11:19:22,6011.75,Put VEX 1,-2942779.263
2025-06-02 11:19:22,6112.0,Put VEX 2,-894262.584
2025-06-02 11:19:22,6212.25,Put VEX 3,-619142.915
